Names,R,G,B,Variance,Energy,Entropy,Contrast,Homogeneity
Bus,103.9210205078125,97.7638651529948,106.43369547526042,0.0746570426316639,22633.69817170973,36670.01881246027,1060475676.3397894,767.4812759948188
Bus,129.4633585611979,78.60030110677083,88.3359375,0.07820991072081475,21305.035505111584,36375.38158398316,966823446.9753631,982.7828932815491
Dinosaur,208.24308268229166,210.52389526367188,202.60145060221353,0.03547546381312579,69471.94185060696,18676.471162849604,1830215559.5986004,2059.567150367016
Dinosaur,218.01676432291666,209.44828287760416,201.88887532552084,0.024298826850575644,69775.82121644917,19393.49319119942,1836428880.4421787,2166.508685659638
Dinosaur,178.86168416341147,173.5948486328125,161.8243408203125,0.07260975943782595,52808.76346362358,27592.077603560483,1653928328.96876,1670.469041583303
Dinosaur,200.88858032226562,200.21971638997397,195.82412719726562,0.05616184616675826,65931.09457309329,19974.434903986716,1760644453.4973907,1884.389818800398
Dinosaur,194.95907592773438,186.16849772135416,181.8687540690104,0.07782907626113501,61246.92294671989,21097.330570441816,1692570991.6856802,1910.6365910114528
Dinosaur,203.5233154296875,195.30852254231772,178.99895222981772,0.044181298600716214,62351.96667248441,23321.229842431945,1733421412.0466557,2065.3744932078644
Dinosaur,193.25126139322916,196.81409708658853,190.77871704101562,0.048533480472438446,62281.20722075729,23168.01031788127,1793308434.228724,1865.4340429207398
Dinosaur,220.6465861002604,214.0115763346354,203.08653767903647,0.022101229050550734,71878.27365008737,18022.35013803898,1860994544.1297753,2129.6595091791055
Dinosaur,196.67669677734375,195.22569783528647,187.64598592122397,0.06325696943871714,63572.026625829516,20915.800281102038,1796169206.8412347,1891.3688191332224
Bus,98.78347778320312,98.94748942057292,116.8737284342448,0.07210772062325121,22489.515218744444,37910.031135559795,944438535.745778,1187.0933005847205
Dinosaur,204.75018310546875,203.71591186523438,194.5260009765625,0.03726354948627465,65936.04927866675,21207.77037891979,1736933361.7766979,2056.3926301526512
Elephant,121.13528442382812,126.32313028971355,91.12942504882812,0.022668542912219546,24270.309842859373,46350.55841881548,986109919.374682,1239.4830335043478
Elephant,139.24921671549478,113.705322265625,71.25719197591145,0.03546671275384588,24001.33611278007,45105.96259317057,941573070.5954802,1133.6360212271836
Elephant,149.89336140950522,139.79487101236978,124.87208048502605,0.045625749643305846,34582.89710542022,39535.28351659953,1135855347.5344725,1487.633870092494
Elephant,133.99481201171875,147.7221476236979,112.83602905273438,0.04836300129008445,34227.744681947544,39270.68100007734,1274566372.875033,1400.9873950894378
Elephant,158.58304850260416,149.68781534830728,105.9954833984375,0.05480939185592712,38212.26712228343,36834.82638041756,1422985609.2087584,1552.4942273293777
Elephant,108.9174296061198,116.7735087076823,66.31735229492188,0.034544122786384114,21246.038312124783,44485.11916409407,912408000.6341462,1118.8064783042003
Elephant,150.55134073893228,132.28484090169272,117.63929239908855,0.03532359565075848,31459.927284770733,42033.90254964293,1064518808.9229069,1403.5717377663618
Elephant,79.48512776692708,105.2564188639323,65.61551920572917,0.04712399676011008,17714.620752871186,43768.196821356265,886472526.9690487,868.9637716878143
Elephant,106.15376790364583,118.02396647135417,73.31585693359375,0.041055181460470526,22118.739399274902,44168.10831775606,854422315.593895,1134.3534232409158
Bus,97.96506754557292,89.602783203125,102.7156473795573,0.07126486880990798,20246.987885214505,36232.54682768885,887958360.2324005,907.6004765819958
Elephant,127.07113647460938,132.3110555013021,107.24497477213542,0.027760981278548185,27449.436863675433,44405.12712289985,1099247985.3336318,1225.7352252132005
Flower,81.87013753255208,67.26566569010417,26.238932291666668,0.051771404191326205,11865.053001465065,36300.73412939933,354448097.80859905,918.6482708503183
Flower,100.61135864257812,36.65632120768229,45.76056925455729,0.014344717307431101,6288.684090865459,42461.49644240135,438624616.7077858,624.106745111051
Flower,65.4354960123698,57.96898396809896,49.551849365234375,0.07707674366497187,12881.557829269479,23161.702895881892,267063991.3612998,779.62480608018
Flower,68.2975362141927,20.046966552734375,19.415079752604168,0.005156495031646399,2295.3755418609976,35594.01639644268,274327389.17402655,353.79484367311403
Flower,77.09243774414062,55.03032430013021,42.793721516927086,0.06774638434014851,12142.928278008125,26203.696548705102,454862853.7509314,613.8842229432167
Flower,74.29820760091145,14.297495524088541,31.937204996744793,0.009916219321798076,2747.3149499894917,32682.73343767208,234874453.7017606,372.8154564617971
Flower,102.1827392578125,42.03886922200521,37.564483642578125,0.023839656941878184,7695.9260159319465,40201.352575815996,424342762.61914504,673.1355742185092
Flower,88.66302490234375,35.08606974283854,34.36474609375,0.013060901524466526,5218.332360139717,41433.44514114899,413641838.3654656,491.77610436114213
Flower,76.42115275065105,27.144429524739582,33.756612141927086,0.02558662952882985,5261.932970379385,32237.730137755265,267064088.73623136,465.78050072190325
Bus,109.06756591796875,97.67674763997395,96.48646036783855,0.05615577465300491,20922.547007688292,40546.7683203961,931256559.6725484,994.9674838060638
Flower,74.10792032877605,34.79322306315104,50.84538777669271,0.03238661932674949,6720.923753206215,33710.4435073791,259565291.31070793,569.1159053006944
Horse,97.67628987630208,126.54471842447917,64.97569783528645,0.023602922089478857,20908.2291869046,47012.84991125608,965900603.268029,1120.595870078351
Horse,157.0733846028646,157.99386596679688,88.90396118164062,0.021481441608224,36048.37756258166,41414.61101036986,1326534548.6470947,1461.6338991517014
Horse,85.07987467447917,110.14585367838542,56.133087158203125,0.02815590679042014,16841.65510452284,46528.00745957566,727298185.1327778,912.0490613196209
Horse,119.1539306640625,139.8525187174479,75.32562255859375,0.014612977057090732,25550.426437715258,46986.67504474158,1035970102.5349182,1256.4851971080873
Horse,62.76025390625,80.09598795572917,51.07030232747396,0.02763302530111927,10466.144636780915,43515.20907079966,508588733.1871097,753.2068241448097
Horse,126.50742594401042,163.16597493489584,87.87354532877605,0.019564498673259902,33101.72668499789,42958.812842177445,1218983923.5799737,1407.1879097454007
Horse,85.0161641438802,103.66788736979167,58.40723673502604,0.03253996754081203,16252.564153177193,46008.38773004604,777024624.3724442,967.5610108526186
Horse,48.541290283203125,71.48221842447917,38.179951985677086,0.03425354004993612,8959.76085446017,38916.62398384481,391745865.6293931,687.8469924047719
Horse,120.08860270182292,155.46703084309897,79.001708984375,0.015906029148173444,29591.41272993692,45126.06705072505,1134723165.020158,1345.3719824083682
Bus,78.809326171875,90.92769368489583,115.93178304036458,0.056336405455643085,17823.57875780618,39577.802801306236,595736722.0469311,1138.2631808718654
Horse,60.91399129231771,72.76888020833333,41.566070556640625,0.022059029893635746,8686.373936054271,43996.497241421006,451037790.23460513,808.897512043556
Mountain,104.3870849609375,127.28348795572917,140.17210896809897,0.05037047016153597,27414.8418724617,40059.382662177675,973089036.8763671,1440.8954510808614
Mountain,98.59719848632812,96.10183715820312,96.61361694335938,0.05888626906772215,19982.808446746923,40976.84967430218,967164682.7576932,985.1662668994959
Mountain,104.86719767252605,103.87279256184895,104.9441630045573,0.07118149642241496,23437.64526225169,38275.38528351042,934543914.7004789,1216.3033798006902
Mountain,56.979227701822914,57.493499755859375,70.54081217447917,0.04886726295678048,10034.573255173022,34919.41428372858,488912285.3132583,543.868468494837
Mountain,103.85794067382812,130.3509318033854,145.60181681315103,0.030262401443156773,26279.3429099673,44507.80539704482,1068324658.7730119,1273.1441414605038
Mountain,65.13197835286458,92.37039184570312,103.44701131184895,0.04345600823986561,15318.877895975216,42834.2749816932,737120937.8061467,924.7738531171426
Mountain,56.02165730794271,75.29758707682292,125.16015625,0.03647017555097117,12137.298455804254,43374.25575896187,429304183.308088,963.6602411211511
Mountain,77.57567342122395,94.97714233398438,125.81447347005208,0.034467751009799034,16543.130728597313,46126.35925403532,701372534.8142034,997.9758672520587
Mountain,76.88812255859375,92.0221659342448,113.7001953125,0.04517007395983197,16675.186100101477,42805.97905787215,659157196.9134309,963.5843166519173
Bus,112.11712646484375,93.69069417317708,106.90721638997395,0.070491269702784,22258.524007411525,37728.30786230886,831560105.7595594,1203.57958526545
Mountain,57.950927734375,101.94734700520833,118.64673868815105,0.04687725532394483,17042.283331016275,43479.84352440219,720106867.8782105,901.2021696236034
Bus,90.3541259765625,81.99672444661458,93.46061197916667,0.07192167431347128,18197.72264448745,37172.57853305195,956672679.0699607,718.119978500637
Bus,88.52071126302083,77.06332397460938,85.31407674153645,0.07380499617874164,17277.495659686345,35436.54024847339,534780712.6931714,908.4061421192822
Bus,122.49729410807292,90.22275797526042,98.82722981770833,0.08424490463591226,23654.994580724848,35025.71801946745,1153943615.1593585,869.3285260108097
